contributor,app
DanielVandH,False
Keno,False
PhilipYip1988,False
SylvainCorlay,False
adrn,False
allcontributors[bot],True
arfon,False
bharatAmeria,False
charlesm93,False
davidpagnon,False
editorialbot,False
eriknw,False
github-actions[bot],True
github-advanced-security[bot],True
goanpeca,False
imagesc-bot,False
imincik,False
jgabry,False
juanitorduz,False
krishanbhasin-px,False
lumberbot-app[bot],True
m-richards,False
mblue9,False
meeseeksmachine,False
mergify[bot],True
mrocklin,False
nanosoldier,False
nstarman,False
pangeo-bot,False
petscbot,False
phcerdan,False
richard-burhans,False
ropensci-review-bot,False
scverse-bot,False
seberg,False
tcmetzger,False
transifex-integration[bot],True
