contributor,bothunter_type,actor
DanielVandH,Human,False
Keno,Human,False
PhilipYip1988,Human,False
SylvainCorlay,Human,False
adrn,Human,False
allcontributors[bot],Bot,True
arfon,Human,False
bharatAmeria,Human,False
charlesm93,Human,False
davidpagnon,Human,False
editorialbot,Human,False
eriknw,Human,False
github-actions[bot],Bot,True
github-advanced-security[bot],Bot,True
goanpeca,Human,False
imagesc-bot,Bot,False
imincik,Human,False
jgabry,Human,False
juanitorduz,Human,False
krishanbhasin-px,Human,False
lumberbot-app[bot],Bot,True
m-richards,Human,False
mblue9,Human,False
meeseeksmachine,Bot,False
mergify[bot],Bot,True
mrocklin,Human,False
nanosoldier,Human,False
nstarman,Human,False
pangeo-bot,Bot,False
petscbot,Bot,False
phcerdan,Human,False
richard-burhans,Human,False
ropensci-review-bot,Human,False
scverse-bot,Bot,False
seberg,Human,False
tcmetzger,Human,False
transifex-integration[bot],Bot,True
veenstrajelmer,Human,False
welcome[bot],Bot,True
zacharyburnett,Human,False
